ID	ABCG2	Type	CancerType
TCGA-OR-A5JP-01A	1.184997	Tumor	ACC
TCGA-OR-A5JG-01A	0.8530548	Tumor	ACC
TCGA-OR-A5LG-01A	2.721393	Tumor	ACC
TCGA-OR-A5JR-01A	1.975582	Tumor	ACC
TCGA-OR-A5KU-01A	0.169694371	Tumor	ACC
TCGA-OR-A5LS-01A	0.946336046	Tumor	ACC
TCGA-OR-A5L9-01A	0.354974657	Tumor	ACC
TCGA-OR-A5JQ-01A	1.809490793	Tumor	ACC
TCGA-OR-A5K4-01A	0.571091295	Tumor	ACC
TCGA-OR-A5JL-01A	1.840976092	Tumor	ACC
TCGA-OR-A5LC-01A	0.592145647	Tumor	ACC
TCGA-OR-A5K2-01A	0.259706907	Tumor	ACC
TCGA-P6-A5OG-01A	1.051208988	Tumor	ACC
TCGA-OR-A5JW-01A	1.472339	Tumor	ACC
TCGA-OR-A5KO-01A	0.638849639	Tumor	ACC
TCGA-OR-A5J8-01A	1.278117	Tumor	ACC
TCGA-PA-A5YG-01A	2.61679	Tumor	ACC
TCGA-OR-A5KV-01A	0.6681865	Tumor	ACC
TCGA-OR-A5L4-01A	0.9684342	Tumor	ACC
TCGA-OR-A5KX-01A	0.2920787	Tumor	ACC
TCGA-OR-A5L8-01A	3.103093467	Tumor	ACC
TCGA-OR-A5JO-01A	0.6478007	Tumor	ACC
TCGA-OR-A5JA-01A	0.1145229	Tumor	ACC
TCGA-OR-A5LO-01A	0.3966151	Tumor	ACC
TCGA-OR-A5JM-01A	0.7763126	Tumor	ACC
TCGA-OR-A5JV-01A	1.155453827	Tumor	ACC
TCGA-OR-A5JB-01A	0.1953268	Tumor	ACC
TCGA-OR-A5LA-01A	1.508416	Tumor	ACC
TCGA-OR-A5JE-01A	0.8552222	Tumor	ACC
TCGA-OR-A5JZ-01A	0.730039	Tumor	ACC
TCGA-OR-A5KT-01A	0.806570217	Tumor	ACC
TCGA-OR-A5KZ-01A	1.35155005	Tumor	ACC
TCGA-OR-A5LJ-01A	0.9780895	Tumor	ACC
TCGA-OR-A5LB-01A	1.194468678	Tumor	ACC
TCGA-OR-A5LT-01A	1.401181995	Tumor	ACC
TCGA-OR-A5LD-01A	0.962421647	Tumor	ACC
TCGA-OR-A5J2-01A	1.739703503	Tumor	ACC
TCGA-PK-A5HB-01A	1.213143	Tumor	ACC
TCGA-OR-A5JS-01A	0.2729032	Tumor	ACC
TCGA-OR-A5K6-01A	0.2089145	Tumor	ACC
TCGA-OR-A5JY-01A	0.548763068	Tumor	ACC
TCGA-OR-A5JT-01A	1.530169	Tumor	ACC
TCGA-PK-A5H8-01A	0.380261394	Tumor	ACC
TCGA-OR-A5JX-01A	0.6918555	Tumor	ACC
TCGA-OR-A5LK-01A	1.703831342	Tumor	ACC
TCGA-P6-A5OF-01A	0.971192152	Tumor	ACC
TCGA-OR-A5JI-01A	2.04301	Tumor	ACC
TCGA-OR-A5K5-01A	0.1425861	Tumor	ACC
TCGA-OR-A5JC-01A	0.9143141	Tumor	ACC
TCGA-OR-A5KW-01A	0.820940707	Tumor	ACC
TCGA-OR-A5JJ-01A	0.909876342	Tumor	ACC
TCGA-OR-A5JD-01A	1.586071999	Tumor	ACC
TCGA-OR-A5LM-01A	1.401106	Tumor	ACC
TCGA-PK-A5HA-01A	1.138553	Tumor	ACC
TCGA-OR-A5JF-01A	1.382295	Tumor	ACC
TCGA-OR-A5LH-01A	2.036723	Tumor	ACC
TCGA-OR-A5K1-01A	2.205770186	Tumor	ACC
TCGA-OR-A5LN-01A	1.29343	Tumor	ACC
TCGA-OR-A5LE-01A	0.566997976	Tumor	ACC
TCGA-OR-A5L3-01A	0.2066033	Tumor	ACC
TCGA-OU-A5PI-01A	3.744429126	Tumor	ACC
TCGA-OR-A5K8-01A	0.670704377	Tumor	ACC
TCGA-OR-A5K0-01A	0.3259957	Tumor	ACC
TCGA-OR-A5KY-01A	1.231350101	Tumor	ACC
TCGA-OR-A5J9-01A	3.526001	Tumor	ACC
TCGA-OR-A5J1-01A	0.768439	Tumor	ACC
TCGA-OR-A5J5-01A	0.2978193	Tumor	ACC
TCGA-OR-A5L6-01A	1.71941125	Tumor	ACC
TCGA-OR-A5LP-01A	1.757471	Tumor	ACC
TCGA-OR-A5K9-01A	0.230447517	Tumor	ACC
TCGA-OR-A5J7-01A	1.318931365	Tumor	ACC
TCGA-PK-A5H9-01A	2.403074	Tumor	ACC
TCGA-OR-A5LR-01A	1.238030198	Tumor	ACC
TCGA-OR-A5JK-01A	0.845075879	Tumor	ACC
TCGA-OR-A5J6-01A	1.077064164	Tumor	ACC
TCGA-OR-A5LL-01A	1.7079	Tumor	ACC
TCGA-OR-A5K3-01A	0.837948453	Tumor	ACC
TCGA-OR-A5J3-01A	2.650795831	Tumor	ACC
TCGA-OR-A5L5-01A	1.565232	Tumor	ACC
TCGA-FD-A3SS-01A	2.270423	Tumor	BLCA
TCGA-FD-A43S-01A	0.51911832	Tumor	BLCA
TCGA-UY-A78K-01A	1.577838204	Tumor	BLCA
TCGA-DK-A2HX-01A	0.931681168	Tumor	BLCA
TCGA-DK-A1A3-01A	1.310085513	Tumor	BLCA
TCGA-GC-A6I3-01A	0.115823701	Tumor	BLCA
TCGA-XF-AAMJ-01A	0.439172831	Tumor	BLCA
TCGA-GC-A6I1-01A	0.2069814	Tumor	BLCA
TCGA-ZF-A9RL-01A	0.5537276	Tumor	BLCA
TCGA-DK-A3IL-01A	0.196742755	Tumor	BLCA
TCGA-E7-A6MF-01A	2.186725	Tumor	BLCA
TCGA-BT-A20R-01A	0.692415417	Tumor	BLCA
TCGA-H4-A2HQ-01A	0.540581546	Tumor	BLCA
TCGA-GV-A3QH-01A	0.3719964	Tumor	BLCA
TCGA-4Z-AA82-01A	0.296236498	Tumor	BLCA
TCGA-E7-A4XJ-01A	0.699966971	Tumor	BLCA
TCGA-XF-A8HE-01A	0.302392375	Tumor	BLCA
TCGA-XF-A9T0-01A	0.1901956	Tumor	BLCA
TCGA-FD-A5BT-01A	0.536386457	Tumor	BLCA
TCGA-FD-A3SN-01A	0.238394077	Tumor	BLCA
TCGA-G2-AA3C-01A	0.494745901	Tumor	BLCA
TCGA-HQ-A2OE-01A	0.807133	Tumor	BLCA
TCGA-BL-A3JM-01A	0.437616358	Tumor	BLCA
TCGA-XF-AAN3-01A	0.325389	Tumor	BLCA
TCGA-FD-A3SR-01A	0.467226036	Tumor	BLCA
TCGA-4Z-AA89-01A	0.454198396	Tumor	BLCA
TCGA-G2-A2EO-01A	0.150072069	Tumor	BLCA
TCGA-ZF-AA5H-01A	1.64966	Tumor	BLCA
TCGA-BT-A20V-01A	0.061356956	Tumor	BLCA
TCGA-GC-A3WC-01A	3.495878068	Tumor	BLCA
TCGA-GV-A3JV-01A	0.5843279	Tumor	BLCA
TCGA-YF-AA3M-01A	0.774869475	Tumor	BLCA
TCGA-FD-A3B5-01A	0.2352772	Tumor	BLCA
TCGA-BT-A20Q-11A	0.256558529	Normal	BLCA
