CancerType	BTLA	CD200	TNFRSF14	NRP1	LAIR1	TNFSF4	CD244	LAG3	ICOS	CD40LG	CTLA4	CD48	CD28	CD200R1	HAVCR2	ADORA2A	CD276	KIR3DL1	CD80	PDCD1	LGALS9	CD160	TNFSF14	IDO2	ICOSLG	TMIGD2	VTCN1	IDO1	PDCD1LG2	HHLA2	TNFSF18	BTNL2	CD70	TNFSF9	TNFRSF8	CD27	TNFRSF25	VSIR	TNFRSF4	CD40	TNFRSF18	TNFSF15	TIGIT	CD274	CD86	CD44	TNFRSF9
ACC	0.00942970947797989	0.147859240562838	-0.0500241535257553	0.145536796936523	0.0706863744738654	0.0621787169047006	0.0986746250225237	-0.149074197762158	0.00405398449653323	0.17008416099738	0.00814145292377673	0.140250698105038	0.0123539774111151	0.121684750807742	-0.00698653108646389	-0.00661730643642862	-0.0778160551949723	-0.0299795714023366	-0.101097977494252	-0.0163035001617538	-0.0143581001586602	-0.0342085718682644	0.0740368166208536	-0.138203044044862	0.104391921146257	-0.0607458734082047	0.153196889214306	-0.318512340811708	0.0412237116029762	-0.00865608322484113	0.181361359176743	0.00931052848396096	-0.199288409822405	-0.170801802940396	-0.0355211409957712	0.11163714189578	-0.139451225338114	0.148661945605462	-0.157681185238765	0.129256538287855	-0.0427033829020249	0.0286760438789965	-0.00540231455853984	0.0117374537444683	0.00527848829828604	0.161242537352042	-0.126531617502374
BLCA	0.103479755320376	0.0758442051178414	-0.13973042538968	0.13048153340179	-0.00221219112335588	-0.0617170719346488	0.0392165587084531	-0.0442988557937129	-0.0272661057050399	0.113379736849732	-0.0791666458428671	0.0381330828875241	0.102470999234084	0.0664221960599292	-0.0426981593677317	0.0516848376780663	0.0106518852535492	-0.037280065961761	0.00126315953650751	-0.00491727616913326	-0.0499470652592788	0.0493777766629564	-0.0112896912820189	-0.0228936105195665	0.0826283496501768	0.0725478270703425	0.156317736012578	-0.0865590491421184	0.0389388170393802	-0.0142297072352679	0.0697347683997539	-0.00687882003802547	-0.0879142199698297	0.000210079170691959	0.016313837704194	-0.00799533137634682	-0.205213828147197	0.0695776437386756	-0.0324382837924403	-0.0874543702065596	-0.0985915298136079	0.00917997583724381	-0.027386242203584	0.112730312869097	-0.0265506886617363	-0.105094315450431	-0.0314015076932061
BRCA	0.0445788054556234	0.371021658859522	0.0223902095601128	0.377488303529876	-0.0052515056040567	0.0629534959940618	0.019528647618682	-0.245851120078146	-0.09578124460101	0.110412948136026	-0.125598248224204	0.0830892394458601	0.0985247081947628	0.195971967611657	-0.00430781427307412	0.116596816292962	-0.0671247774080828	-0.0311191441283129	-0.125128731515881	-0.107938877822498	-0.0916697882415599	0.109511544134025	-0.00289306962278252	-0.0522224767574803	-0.0518050373092991	-0.0382360768723684	0.156041671268633	-0.214502631104116	-0.00999802846056288	0.00502222158571858	0.147661810602952	0.0153504973433543	-0.173447990642708	-0.182475430749934	-0.00147202265157374	0.0220829689812295	-0.102908530833444	0.209690310198525	-0.100539055411284	0.0451387686215344	-0.146687062360515	-0.0375872941361546	-0.0404062202248036	-0.0695365283526787	-0.0311357450846987	0.153161412813563	-0.0905959796599683
CESC	0.2837594134355	0.43526547373858	0.106074245532938	0.227207219517079	0.162895430442954	0.224577175622838	0.110356117203909	0.0407639104603396	0.132243061731051	0.34317140917277	0.115550318954774	0.238123437835914	0.297197341452318	0.216470172363574	0.138475934517896	0.222961776203708	0.000876132557578593	-0.0495872955746343	0.173722632432917	0.0862722441131012	0.164793408936272	0.13089024189553	0.00232086942688427	0.165389212461536	0.00268128564974361	0.0347543245163644	0.0990361444998778	0.0298873073919044	0.0891648121793293	0.0829637651455206	0.0756680452160139	0.247307580384606	-0.106436419440941	-0.0878355854558721	0.0713518928398831	0.209914221396965	-0.180827557517988	0.034429008642239	0.15717296030962	0.0834523471352884	-0.0312552199439056	0.187962838366468	0.147688728058459	0.0123093597106622	0.148360634912923	-0.0156510325469952	0.143652116860099
CHOL	0.18396703318116	0.322699305880133	0.0628184738713525	0.267505385196721	0.284048227051064	-0.0914357511477476	0.379641221174085	0.0113688635127602	0.198963206124136	0.28592735234011	0.143322963949676	0.322041391818775	0.223919159319063	0.234025321145623	0.0861294897159466	0.344181589385026	-0.175220049019843	0.0285707407037351	0.0697935552385203	-0.0207422048043106	-0.336631955125605	0.0318590818304278	-0.248699271961262	0.247112991180363	0.251806998447053	0.155204299657874	-0.198716822524625	0.193450489781069	0.194840041212993	0.387272821014836	0.131907614549903	0.0939952511767914	0.0217982976486017	-0.11874397598341	0.341670273975535	0.175423876714277	0.128392959180065	0.215623080103133	0.126697034014928	0.279626434005791	0.0574674529661011	-0.00759128317048124	0.259416548401674	0.188497528658377	0.23159549322747	0.221877721739339	0.149940680467963
COAD	0.131487361467668	0.0153575479728663	0.00319106070865451	0.18727928971789	0.182776184883826	0.0513550681553509	0.0834823650254374	0.12567003345072	0.191182647855261	0.104165293331757	0.139738741337138	0.17807999140199	0.18838116832483	0.105788559220486	0.166217624883416	0.0765519146647913	-0.0133834341083784	0.0387507977081916	0.118436565085461	0.0997876735323076	-0.120691951409595	0.0787266405526658	0.0871066290002516	0.176632092355754	-0.0118225486669822	0.0329861875685854	0.0284934927259626	0.0812371149509868	0.123062031744477	0.206858593893493	0.13050770675817	0.0488094273396297	0.0135405566805601	0.0892224634247024	0.121365337525552	0.150731399223809	-0.098834513579578	0.216113129305114	0.111833259146369	0.0401641997739421	0.144666055605142	0.200356589005404	0.153680464033309	0.121449194896026	0.168952294997437	-0.0489208659454474	0.146437838419052
DLBC	0.156559691459137	0.232970374100361	-0.0934550194040953	0.276309136950214	0.101578016267065	0.0919817773130141	0.0828002410153613	0.0937931142049341	0.464782203420157	0.243443849775923	0.344950591985434	-0.0317624440686818	0.397079604637567	0.30408733304634	0.0813752247714501	0.133599420857719	0.0481489964610828	0.0655293938577045	0.139376525480669	0.175203442801292	0.131428752525438	0.236850394960011	0.409378600384122	0.0787075356821498	-0.0340634054301177	0.115037318698952	-0.0508547735790013	-0.0279053593246435	0.118415914958216	0.0753735752635396	0.0104968181560108	0.218030260719123	-0.196949522937434	-0.297949839448334	-0.0800101132049008	0.0858317966475845	0.392737731770681	0.235734676378593	0.160295149298656	0.0855057493047442	0.144461459032962	0.599731833934794	0.242261046080155	0.03981021100357	0.480157656446834	-0.00778063396761502	0.368909239843786
ESCA	0.0168381870213318	0.0162920797905185	0.133694792510835	0.00858432033891895	-0.0304913030099514	0.101964208798403	-0.0464989503711321	-0.107442412130643	0.00659229221461148	0.0509142968434867	-0.0573207396992363	-0.0254447763370754	0.0651036741942635	-0.10615424502769	-0.0788663373772441	0.125312653615482	-0.198978730424303	-0.0237406497371392	-0.0486788827658487	-0.0476463156603039	0.225262096633782	0.0827660382007198	-0.0722945719647697	-0.000238507982704323	0.0196857117306471	-0.0826647293915887	0.0049435588935063	-0.050751819418176	-0.105689100994614	0.234532103714776	0.11085151188838	-0.115660137691625	-0.0824868360050278	0.0261038430581384	-0.127496981951192	0.0051176911463282	-0.0866819359605429	0.0805995087475846	-0.0038966094691657	-0.182147904378346	-0.200514925676232	0.310007518856003	0.00350209207808549	-0.0568272150629364	-0.119858442863951	-0.218869679162955	-0.0498071200658348
GBM	0.100131899308972	0.30203834930075	-0.0178762603220076	-0.342809752326639	-0.0640863022717661	-0.291524074368056	0.0916414022637431	-0.0531714297900113	-0.0777980101391949	0.117524094962526	-0.129394296736792	0.101976328697962	-0.241880765753525	-0.0713634085055004	0.084603672900077	0.0370082705722246	-0.412850871276082	0.192966339394989	-0.112679158344387	-0.133485461919356	0.177013089759331	-0.00552972150730312	-0.216607859282538	-0.1047961804539	-0.0481000241064609	0.0986589083607752	-0.0551914648385392	0.0457321932992321	0.00122708467588194	0.0382299402270737	0.285731286699351	0.116877408915037	-0.411637120765895	-0.283815359587687	-0.187558014304212	-0.0797449326596573	-0.148570385765989	0.284074976879092	0.189906482633353	0.039365613768123	-0.304353411722391	-0.20956182792263	0.0132783045240351	-0.103832366355098	0.0728543845513029	-0.303942068287387	-0.350796668601719
HNSC	0.161053008383735	0.112035546484516	-0.0545171742479661	0.168963245707004	0.140267236324836	0.169963182747905	0.0142057500311113	-0.0243578616726398	0.0849989822048526	0.111529163098318	-0.00139575947150058	0.127787971885344	0.160377346137572	0.105459689868799	0.107499686123261	0.0891699624113097	0.165643801984952	0.0691535751658676	0.146737676202023	0.0189433848170757	0.122556908852946	0.0919773644124561	0.0144824796315898	0.0206601780982554	0.0308863599413743	0.0162835267363547	0.120482024429266	-0.00788497299062766	0.130171250144538	-0.0421706646742442	0.190424781239208	-0.00432473066645776	-0.0538464455032166	-0.033743081595795	0.0398659504661332	0.0774012162513451	-0.197985006977661	-0.0539102842996627	-0.0516424143766115	-0.0464784027044613	-0.0551773276053674	0.0918505192651798	0.0512668941115206	0.0729516554401763	0.12191061646565	0.129667743486608	0.0522773323840771
