ID	ABCG1	ABCG2	ABCG4	ABCG5	ABCG8	Type	CancerType
TCGA-OR-A5JP-01A	4.753241	1.184997	0.07096255	0.565548	0	Tumor	ACC
TCGA-OR-A5JG-01A	0.8379691	0.8530548	0.02769033	0.1702163	0.02176411	Tumor	ACC
TCGA-OR-A5LG-01A	0.8757127	2.721393	0.02561121	0.02161707	0	Tumor	ACC
TCGA-OR-A5JR-01A	1.674299	1.975582	0.03963594	0.06620034	0	Tumor	ACC
TCGA-OR-A5KU-01A	2.486673541	0.169694371	0.06448111	0.174307709	0	Tumor	ACC
TCGA-OR-A5LS-01A	2.746840339	0.946336046	0.187390052	0.11866924	0	Tumor	ACC
TCGA-OR-A5L9-01A	2.3603235	0.354974657	0.029331584	0.230350555	0	Tumor	ACC
TCGA-OR-A5JQ-01A	2.850853284	1.809490793	0.092113674	0.033024393	0.018532258	Tumor	ACC
TCGA-OR-A5K4-01A	4.954105214	0.571091295	0.05961118	0.118141555	0	Tumor	ACC
TCGA-OR-A5JL-01A	1.919018084	1.840976092	0.031212984	0.109701488	0	Tumor	ACC
TCGA-OR-A5LC-01A	2.302764734	0.592145647	0.062311092	0.011877914	0.016553166	Tumor	ACC
TCGA-OR-A5K2-01A	2.702226811	0.259706907	0.016203559	0.143681995	0.019045456	Tumor	ACC
TCGA-P6-A5OG-01A	2.356913527	1.051208988	0.350820331	0.03713053	0	Tumor	ACC
TCGA-OR-A5JW-01A	3.943937	1.472339	0.01276866	0.1373818	0	Tumor	ACC
TCGA-OR-A5KO-01A	2.048939024	0.638849639	0.044056291	0.128200098	0	Tumor	ACC
TCGA-OR-A5J8-01A	3.347137	1.278117	0.08971005	0.04672254	0	Tumor	ACC
TCGA-PA-A5YG-01A	4.064895	2.61679	0.05758252	0	0.009186528	Tumor	ACC
TCGA-OR-A5KV-01A	3.180543	0.6681865	0.6361397	0.342818	0.6783947	Tumor	ACC
TCGA-OR-A5L4-01A	1.303261	0.9684342	0.04206267	0.02041236	0.01427691	Tumor	ACC
TCGA-OR-A5KX-01A	3.782472	0.2920787	0.1495579	0.119889	0	Tumor	ACC
TCGA-OR-A5L8-01A	4.421500055	3.103093467	0.04608853	0.049384789	0.029746204	Tumor	ACC
TCGA-OR-A5JO-01A	1.814592	0.6478007	0.1114727	0.1435771	0	Tumor	ACC
TCGA-OR-A5JA-01A	1.357928	0.1145229	0.03039246	0.259896	0.02389272	Tumor	ACC
TCGA-OR-A5LO-01A	2.150906	0.3966151	0.06199088	0.1171456	0.02113723	Tumor	ACC
TCGA-OR-A5JM-01A	0.9992803	0.7763126	0.2644914	0.2981991	0.0208661	Tumor	ACC
TCGA-OR-A5JV-01A	2.849025449	1.155453827	0.099302499	0.015668704	0	Tumor	ACC
TCGA-OR-A5JB-01A	4.393462	0.1953268	0.07647822	0.01549318	0.03225138	Tumor	ACC
TCGA-OR-A5LA-01A	5.093057	1.508416	0.09644105	0.01759051	0	Tumor	ACC
TCGA-OR-A5JE-01A	2.899294	0.8552222	0.03912775	0.1581606	0	Tumor	ACC
TCGA-OR-A5JZ-01A	4.685289	0.730039	0.05022137	0.07347926	0	Tumor	ACC
TCGA-OR-A5KT-01A	2.540885361	0.806570217	0.142875525	0.311855	0.04351349	Tumor	ACC
TCGA-OR-A5KZ-01A	2.424974079	1.35155005	0.086634541	0.067849324	0	Tumor	ACC
TCGA-OR-A5LJ-01A	0.9857026	0.9780895	0.1584332	0.01517912	0.01061087	Tumor	ACC
TCGA-OR-A5LB-01A	2.949313145	1.194468678	0.059483867	0.114746205	0.023621705	Tumor	ACC
TCGA-OR-A5LT-01A	2.002487235	1.401181995	0.036295472	0.218103686	0	Tumor	ACC
